edunum	position	chars	words	zwords	parentnum	dist	zdist	children	zchildren
34	0.3434343434343434	104	20	17.743472932315246	32	2	0.49692980277212956	1	-4.072450458252729
42	0.42424242424242425	34	7	-6.0935308922042974	15	27	35.63696585594414	5	8.959391008156004
37	0.37373737373737376	77	14	6.741778859460073	42	-5	-9.342280292116033	1	-4.072450458252729
38	0.3838383838383838	52	11	1.2409318230324855	37	1	-0.9086716393547509	1	-4.072450458252729
39	0.3939393939393939	57	11	1.2409318230324855	38	1	-0.9086716393547509	1	-4.072450458252729
43	0.43434343434343436	94	19	15.909857253506052	42	1	-0.9086716393547509	3	2.4434702749516375
47	0.47474747474747475	21	7	-6.0935308922042974	49	-2	-5.125475965735392	1	-4.072450458252729
49	0.494949494949495	48	11	1.2409318230324855	43	6	6.119335571279652	2	-0.8144900916505458
50	0.5050505050505051	76	15	8.575394538269268	42	8	8.930538455533414	1	-4.072450458252729
51	0.5151515151515151	40	8	-4.259915213395102	50	1	-0.9086716393547509	1	-4.072450458252729
54	0.5454545454545454	90	18	14.076241574696855	15	39	52.50418316146671	7	15.47531174136037
57	0.5757575757575758	15	3	-13.427993607441081	54	3	1.9025312448990102	1	-4.072450458252729
60	0.6060606060606061	60	15	8.575394538269268	54	6	6.119335571279652	6	12.217351374758186
62	0.6262626262626263	63	12	3.074547501841681	60	2	0.49692980277212956	1	-4.072450458252729
65	0.6565656565656566	46	11	1.2409318230324855	60	5	4.713734129152772	2	-0.8144900916505458
68	0.6868686868686869	61	14	6.741778859460073	54	14	17.364147108294695	2	-0.8144900916505458
69	0.696969696969697	17	4	-11.594377928631886	68	1	-0.9086716393547509	2	-0.8144900916505458
71	0.7171717171717171	34	8	-4.259915213395102	69	2	0.49692980277212956	2	-0.8144900916505458
76	0.7676767676767676	32	7	-6.0935308922042974	54	22	28.60895864530974	2	-0.8144900916505458
77	0.7777777777777778	57	11	1.2409318230324855	76	1	-0.9086716393547509	1	-4.072450458252729
80	0.8080808080808081	25	6	-7.927146571013493	78	2	0.49692980277212956	1	-4.072450458252729
78	0.7878787878787878	30	5	-9.760762249822688	77	1	-0.9086716393547509	1	-4.072450458252729
82	0.8282828282828283	86	20	17.743472932315246	54	28	37.04256729807102	3	2.4434702749516375
85	0.8585858585858586	27	6	-7.927146571013493	82	3	1.9025312448990102	5	8.959391008156004
83	0.8383838383838383	28	6	-7.927146571013493	85	-2	-5.125475965735392	1	-4.072450458252729
90	0.9090909090909091	69	14	6.741778859460073	85	5	4.713734129152772	2	-0.8144900916505458
93	0.9393939393939394	92	19	15.909857253506052	82	11	13.147342781914054	2	-0.8144900916505458
96	0.9696969696969697	5	2	-15.261609286250277	94	2	0.49692980277212956	2	-0.8144900916505458
94	0.9494949494949495	40	9	-2.426299534585906	93	1	-0.9086716393547509	1	-4.072450458252729
97	0.9797979797979798	33	7	-6.0935308922042974	96	1	-0.9086716393547509	2	-0.8144900916505458
19	0.168141592920354	138	25	27.97747781099305	0	0	-2.3426473620576855	10	37.30893058580772
1	0.008849557522123894	64	8	-4.204998162011532	19	-18	-20.05619656066487	1	-4.757514638458702
3	0.02654867256637168	96	17	12.832783235461482	19	-16	-18.088024427486292	3	4.59058430026717
7	0.061946902654867256	9	1	-17.456605915601653	19	-12	-14.15168016112914	1	-4.757514638458702
11	0.09734513274336283	65	12	3.3673491257542527	19	-8	-10.215335894771988	3	4.59058430026717
12	0.10619469026548672	64	11	1.4742623038128064	11	1	-1.3585612954683974	2	-0.08346516909576641
15	0.13274336283185842	91	21	20.405130523227268	11	4	1.5936969042994664	2	-0.08346516909576641
21	0.18584070796460178	39	8	-4.204998162011532	19	2	-0.3744752288791095	4	9.264633769630105
23	0.20353982300884957	53	9	-2.3119113400700857	24	-1	-3.3267334286469734	1	-4.757514638458702
24	0.21238938053097345	55	10	-0.4188245181286396	21	3	0.6096108377101784	1	-4.757514638458702
27	0.23893805309734514	41	8	-4.204998162011532	25	2	-0.3744752288791095	2	-0.08346516909576641
25	0.22123893805309736	40	8	-4.204998162011532	21	4	1.5936969042994664	1	-4.757514638458702
28	0.24778761061946902	54	10	-0.4188245181286396	27	1	-1.3585612954683974	1	-4.757514638458702
29	0.25663716814159293	61	12	3.3673491257542527	28	1	-1.3585612954683974	2	-0.08346516909576641
31	0.2743362831858407	38	9	-2.3119113400700857	29	2	-0.3744752288791095	1	-4.757514638458702
32	0.2831858407079646	23	5	-9.88425862783587	31	1	-1.3585612954683974	1	-4.757514638458702
36	0.3185840707964602	27	8	-4.204998162011532	37	-1	-3.3267334286469734	1	-4.757514638458702
37	0.3274336283185841	72	16	10.939696413520037	19	18	15.370901836549498	6	18.612732708355978
38	0.336283185840708	50	9	-2.3119113400700857	37	1	-1.3585612954683974	1	-4.757514638458702
40	0.35398230088495575	65	11	1.4742623038128064	37	3	0.6096108377101784	2	-0.08346516909576641
45	0.39823008849557523	54	9	-2.3119113400700857	46	-1	-3.3267334286469734	1	-4.757514638458702
46	0.40707964601769914	64	11	1.4742623038128064	37	9	6.514127237245907	2	-0.08346516909576641
47	0.415929203539823	53	11	1.4742623038128064	46	1	-1.3585612954683974	1	-4.757514638458702
48	0.4247787610619469	15	3	-13.670432271718761	47	1	-1.3585612954683974	1	-4.757514638458702
50	0.4424778761061947	67	9	-2.3119113400700857	37	13	10.450471503603058	3	4.59058430026717
51	0.45132743362831856	96	17	12.832783235461482	50	1	-1.3585612954683974	1	-4.757514638458702
52	0.46017699115044247	56	11	1.4742623038128064	51	1	-1.3585612954683974	2	-0.08346516909576641
53	0.4690265486725664	43	9	-2.3119113400700857	52	1	-1.3585612954683974	1	-4.757514638458702
54	0.4778761061946903	25	5	-9.88425862783587	53	1	-1.3585612954683974	3	4.59058430026717
61	0.5398230088495575	26	5	-9.88425862783587	50	11	8.482299370424482	3	4.59058430026717
63	0.5575221238938053	33	8	-4.204998162011532	61	2	-0.3744752288791095	1	-4.757514638458702
64	0.5663716814159292	48	8	-4.204998162011532	63	1	-1.3585612954683974	1	-4.757514638458702
68	0.6017699115044248	28	7	-6.098084983952978	78	-10	-12.183508027950564	1	-4.757514638458702
66	0.584070796460177	34	7	-6.098084983952978	68	-2	-4.31081949523626	1	-4.757514638458702
78	0.6902654867256637	114	22	22.298217345168712	19	59	55.7184305667103	3	4.59058430026717
70	0.6194690265486725	50	9	-2.3119113400700857	71	-1	-3.3267334286469734	1	-4.757514638458702
71	0.6283185840707964	37	8	-4.204998162011532	78	-7	-9.231249828182701	3	4.59058430026717
73	0.6460176991150443	44	10	-0.4188245181286396	71	2	-0.3744752288791095	2	-0.08346516909576641
75	0.6637168141592921	59	11	1.4742623038128064	73	2	-0.3744752288791095	1	-4.757514638458702
76	0.672566371681416	36	6	-7.991171805894424	75	1	-1.3585612954683974	1	-4.757514638458702
81	0.7168141592920354	83	17	12.832783235461482	78	3	0.6096108377101784	3	4.59058430026717
85	0.7522123893805309	103	18	14.725870057402929	82	3	0.6096108377101784	2	-0.08346516909576641
83	0.7345132743362832	31	6	-7.991171805894424	85	-2	-4.31081949523626	1	-4.757514638458702
82	0.7256637168141593	105	20	18.512043701285823	81	1	-1.3585612954683974	4	9.264633769630105
87	0.7699115044247787	44	10	-0.4188245181286396	85	2	-0.3744752288791095	1	-4.757514638458702
90	0.7964601769911505	25	7	-6.098084983952978	82	8	5.530041170656618	3	4.59058430026717
92	0.8141592920353983	36	9	-2.3119113400700857	90	2	-0.3744752288791095	1	-4.757514638458702
95	0.8407079646017699	28	5	-9.88425862783587	82	13	10.450471503603058	4	9.264633769630105
98	0.8672566371681416	18	4	-11.777345449777316	95	3	0.6096108377101784	3	4.59058430026717
100	0.8849557522123894	41	10	-0.4188245181286396	98	2	-0.3744752288791095	1	-4.757514638458702
105	0.9292035398230089	64	13	5.260435947695699	19	86	82.28875436462107	5	13.938683238993042
108	0.9557522123893806	23	5	-9.88425862783587	106	2	-0.3744752288791095	2	-0.08346516909576641
106	0.9380530973451328	77	16	10.939696413520037	105	1	-1.3585612954683974	1	-4.757514638458702
109	0.9646017699115044	22	5	-9.88425862783587	108	1	-1.3585612954683974	1	-4.757514638458702
111	0.9823008849557522	197	39	54.480693318173294	105	6	3.561869037478042	1	-4.757514638458702
17	0.20481927710843373	64	12	-0.7043158989556806	0	0	-1.6381358757353095	8	19.86529578387385
1	0.012048192771084338	41	8	-4.475813938524807	17	-16	-27.23159991075285	1	-3.6042519776648767
9	0.10843373493975904	52	10	-2.5900649187402434	17	-8	-14.434867893244078	2	-0.25145944030220124
4	0.04819277108433735	164	34	20.038923318674513	9	-5	-9.63609338667829	1	-3.6042519776648767
5	0.060240963855421686	71	12	-0.7043158989556806	4	1	-0.038544373546713286	2	-0.25145944030220124
7	0.08433734939759036	39	8	-4.475813938524807	5	2	1.5610471286418828	1	-3.6042519776648767
10	0.12048192771084337	86	19	5.89580567029029	9	1	-0.038544373546713286	1	-3.6042519776648767
11	0.13253012048192772	48	10	-2.5900649187402434	10	1	-0.038544373546713286	1	-3.6042519776648767
14	0.1686746987951807	38	9	-3.532939428632525	17	-3	-6.4369103823010985	1	-3.6042519776648767
